Date,Price,Close_fin,Close_IT,Close_Energy,Close_FMCG,Close_Auto
04/01/2012,4749.65,3369.94,6217.70,7037.05,10103.95,3356.10
05/01/2012,4749.95,3495.58,6356.15,7197.10,10215.70,3414.05
06/01/2012,4754.10,3513.79,6325.10,7165.75,10151.50,3386.10
07/01/2012,4746.90,3552.01,6301.55,7054.40,10130.80,3426.75
09/01/2012,4742.80,3558.00,6281.10,7114.60,10206.75,3416.00
10/01/2012,4849.55,3545.18,6289.85,7107.80,10190.50,3411.30
11/01/2012,4860.95,3547.91,6287.90,7074.75,10183.20,3395.85
12/01/2012,4831.25,3648.70,6331.75,7263.45,10298.00,3493.55
13/01/2012,4866.00,3648.70,6249.30,7315.25,10241.15,3503.95
16/01/2012,4873.90,3680.20,5872.75,7275.05,10314.00,3529.85
17/01/2012,4967.30,3732.96,5872.60,7293.05,10354.75,3531.70
18/01/2012,4955.80,3721.23,5990.30,7165.75,10415.60,3557.80
19/01/2012,5018.40,3721.23,6041.00,7369.20,10483.05,3643.15
20/01/2012,5048.60,3763.92,5912.00,7558.80,10465.40,3600.15
23/01/2012,5046.25,3841.62,5893.20,7672.80,10451.15,3637.50
24/01/2012,5127.35,3928.81,5897.95,7752.35,10211.65,3664.20
25/01/2012,5158.30,3926.79,5910.55,7644.70,10315.80,3677.95
27/01/2012,5204.70,3926.79,5964.25,7721.15,10331.35,3730.45
30/01/2012,5087.30,4064.05,6038.10,7745.50,10389.45,3775.40
31/01/2012,5199.25,4046.21,6136.30,7931.45,10257.85,3818.55
01/02/2012,5235.70,3938.00,6103.80,7750.15,10188.75,3749.75
02/02/2012,5269.90,4074.25,6193.85,7890.05,10327.70,3836.50
03/02/2012,5325.85,4087.63,6192.40,7959.75,10326.10,3910.00
06/02/2012,5361.65,4089.59,6280.55,7993.40,10309.15,3922.50
07/02/2012,5335.15,4159.28,6339.95,8098.75,10466.10,3944.40
08/02/2012,5368.15,4206.59,6370.90,8078.90,10451.80,3985.30
09/02/2012,5412.35,4195.53,6308.55,8120.75,10484.10,3940.95
10/02/2012,5381.60,4205.72,6414.65,8217.50,10498.55,3969.15
13/02/2012,5390.20,4269.63,6492.55,8240.50,10528.55,4040.80
14/02/2012,5416.05,4231.86,6484.35,8170.05,10496.15,4031.20
15/02/2012,5531.95,4241.12,6461.15,8194.80,10479.55,4068.65
16/02/2012,5521.95,4273.00,6465.70,8167.45,10485.45,4154.20
17/02/2012,5564.30,4407.19,6575.40,8195.95,10505.30,4293.95
21/02/2012,5607.15,4426.06,6621.95,8111.15,10499.50,4296.45
22/02/2012,5505.35,4479.48,6703.05,8173.05,10545.55,4277.95
23/02/2012,5483.30,4509.05,6703.90,8318.30,10589.10,4290.45
24/02/2012,5429.30,4361.41,6718.70,8220.80,10528.05,4229.30
27/02/2012,5281.20,4342.85,6704.50,8270.70,10604.45,4189.25
28/02/2012,5375.50,4241.49,6747.20,8160.85,10629.50,4169.85
